"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",296.23999,300.600006,295.190002,300.350006,33870100,299.638885
"2",297.149994,300.579987,296.5,297.429993,36580700,296.725769
"3",293.790009,299.959991,292.75,299.799988,29596800,299.090149
"4",299.839996,300.899994,297.480011,298.390015,27218000,297.683533
"5",297.160004,304.440002,297.160004,303.190002,33019800,302.472137
"6",307.23999,310.429993,306.200012,309.630005,42527100,308.896912
"7",310.600006,312.670013,308.25,310.329987,35161200,309.595215
"8",311.640015,317.070007,311.149994,316.959991,30383000,316.209534
"9",316.700012,317.570007,312.170013,312.679993,40488600,311.939667
"10",311.850006,315.5,309.549988,311.339996,30480900,310.602844
"11",313.589996,315.700012,312.089996,315.23999,27207300,314.493591
"12",316.269989,318.73999,315,318.730011,34454100,317.975372
"13",317.190002,319.019989,316,316.570007,27710800,315.820465
"14",318.579987,319.98999,317.309998,317.700012,25458100,316.947815
"15",317.920013,319.559998,315.649994,319.230011,26118000,318.474182
"16",320.25,323.329987,317.519989,318.309998,36634400,317.556335
"17",310.059998,311.769989,304.880005,308.950012,40485000,308.218506
"18",312.600006,318.399994,312.190002,317.690002,40558500,316.937805
"19",324.450012,327.850006,321.380005,324.339996,54057300,323.572052
"20",320.540009,324.089996,318.75,323.869995,31685800,323.10318
"21",320.929993,322.679993,308.290009,309.51001,49897100,308.777191
"22",304.299988,313.48999,302.220001,308.660004,43496400,307.929199
"23",315.309998,319.640015,313.630005,318.850006,34154100,318.095062
"24",323.519989,324.76001,318.950012,321.450012,29706700,320.688934
"25",322.570007,325.220001,320.26001,325.209991,26356400,324.440002
"26",322.369995,323.399994,318,320.029999,29421000,320.029999
"27",314.179993,321.549988,313.850006,321.549988,27337200,321.549988
"28",323.600006,323.899994,318.709991,319.609985,23580800,319.609985
"29",321.470001,327.220001,321.470001,327.200012,28432600,327.200012
"30",324.190002,326.220001,323.350006,324.869995,23686900,324.869995
"31",324.73999,325.980011,322.850006,324.950012,20028400,324.950012
"32",315.359985,319.75,314.609985,319,38132800,319
"33",320,324.570007,320,323.619995,23496000,323.619995
"34",322.630005,324.649994,318.209991,320.299988,25141500,320.299988
"35",318.619995,320.450012,310.5,313.049988,32388500,313.049988
"36",297.26001,304.179993,289.230011,298.179993,55548800,298.179993
"37",300.950012,302.529999,286.130005,288.079987,57668400,288.079987
"38",286.529999,297.880005,286.5,292.649994,49513700,292.649994
"39",281.100006,286,272.959991,273.519989,80151400,273.519989
"40",257.26001,278.410004,256.369995,273.359985,106627500,273.359985
